date,value
"2022-06-13T10:15:40.000Z",1.79
"2022-06-13T10:16:00.000Z",2.5
"2022-06-13T10:16:20.000Z",4.7
"2022-06-13T10:16:40.000Z",1.27
"2022-06-13T10:17:00.000Z",4.04
"2022-06-13T10:17:20.000Z",2.04
"2022-06-13T10:17:40.000Z",0.84
"2022-06-13T10:18:00.000Z",0.54
"2022-06-13T10:18:20.000Z",0.36
"2022-06-13T10:18:40.000Z",0.99
"2022-06-13T10:19:00.000Z",0.78
"2022-06-13T10:19:20.000Z",0.75
"2022-06-13T10:19:40.000Z",2.7
"2022-06-13T10:20:00.000Z",0.98
"2022-06-13T10:20:20.000Z",0.56
"2022-06-13T10:20:40.000Z",0.61
"2022-06-13T10:21:00.000Z",0.6
"2022-06-13T10:21:20.000Z",0.55
"2022-06-13T10:21:40.000Z",1.32
"2022-06-13T10:22:00.000Z",0.65
"2022-06-13T10:22:20.000Z",2.38
"2022-06-13T10:22:40.000Z",0.57
"2022-06-13T10:23:00.000Z",2.46
"2022-06-13T10:23:20.000Z",0.4
"2022-06-13T10:23:40.000Z",0.38
"2022-06-13T10:24:00.000Z",0.31
"2022-06-13T10:24:20.000Z",0.32
"2022-06-13T10:24:40.000Z",1.3
"2022-06-13T10:25:00.000Z",0.59
"2022-06-13T10:25:20.000Z",1.02
"2022-06-13T10:25:40.000Z",0.24
"2022-06-13T10:26:00.000Z",0.82
"2022-06-13T10:26:20.000Z",0.29
"2022-06-13T10:26:40.000Z",0.52
"2022-06-13T10:27:00.000Z",1.77
